wall_time,gain,lux_est,raw_R,raw_G,raw_B,raw_IR,raw_CLR1,raw_CLR2,cal_R,cal_G,cal_B,cal_IR,cal_CLR1,cal_CLR2
1779232436.129040,33.0,231.350727714265,754562.75,836617.44,156307.38,7563652.5,927831.94,6980691.5,793.5175449330349,748.3291406797948,522.8631162590709,2934.6032963213775,189.00201020431575,1415.1893927763165
1779232436.256569,33.0,231.207863460253,753907.5,836100.81,156315.0,7563602.0,928959.75,6981161.0,792.8284672237028,747.8670306812878,522.8886058869176,2934.583702948141,189.231748315216,1415.2845740946586
1779232436.385256,33.0,231.50822875856184,754606.44,837187.0,155956.16,7561716.5,928692.75,6978650.5,793.563490457828,748.8385949715505,521.6882518112598,2933.8521523493773,189.17735965435082,1414.7756226576032
1779232436.511530,33.0,231.75112813227037,754981.69,838065.38,155708.2,7591779.5,929867.06,7006890.0,793.958112984233,749.6242794662346,520.8588019266313,2945.516223232765,189.41656994776133,1420.5005914314427
1779232436.639102,33.0,231.64703077094742,755387.69,837688.94,155982.41,7578937.5,930529.56,6995510.0,794.3850729994774,749.2875652068265,521.7760605686058,2940.5336866168427,189.5515230856759,1418.1935341306303
1779232436.766547,33.0,231.70124745530873,753371.44,837885.0,156128.81,7557693.5,928924.38,6975968.0,792.2647327759887,749.4629349807601,522.2657825524323,2932.291278279462,189.22454334542275,1414.2318018131893
1779232436.894426,33.0,231.1048390395366,753315.88,835728.25,156375.94,7569705.5,929360.31,6986524.5,792.2063044546908,747.5337869651974,523.092456007781,2936.9517851966443,189.3133435286848,1416.3719116898174
1779232437.021342,33.0,231.27671970021004,754125.94,836349.81,156033.17,7550655.0,927747.0,6968481.0,793.058184331412,748.0897536931692,521.9458576170964,2929.5604276353906,188.98470768426373,1412.7139689475318
1779232437.148674,33.0,231.5147272390397,753618.62,837210.5,155830.91,7551100.5,929305.69,6968849.5,792.5246736049742,748.8596150148405,521.2692785976377,2929.73327610622,189.30221727903512,1412.7886746255062
1779232437.276098,33.0,231.600935804528,754273.88,837522.25,156017.09,7569732.5,929653.62,6987312.0,793.2137618305629,749.1384660146558,521.8920684811679,2936.9622608615427,189.37309161152513,1416.53156086595
1779232437.404487,33.0,231.636193517759,754731.5,837649.75,155899.47,7551792.0,927064.25,6969522.5,793.6950067620312,749.2525109303782,521.4986183463477,2930.001569523905,188.8456295636431,1412.925111318252
1779232437.532549,33.0,231.28458424424366,753991.94,836378.25,155598.17,7557542.0,928373.06,6975311.0,792.9172664938683,748.1151924178997,520.4907410667922,2932.232498159752,189.11223789033588,1414.0986087862443
1779232437.659519,33.0,231.12787684415838,753832.06,835811.56,155464.45,7544515.5,926572.62,6962784.0,792.749132584417,747.6083052548353,520.0434348941332,2927.178377833689,188.74548313165377,1411.5590211933377
1779232437.787395,33.0,231.65299278112204,753449.88,837710.5,156001.86,7549536.0,927201.81,6967647.5,792.3472222922345,749.3068499784576,521.8411226764297,2929.126269523475,188.87365092764543,1412.5449942322218
1779232437.915033,33.0,231.2460772907737,753045.81,836239.0,156217.67,7557303.0,928636.06,6975036.5,791.9222919145011,747.9906374805323,522.5630277401565,2932.1397691260186,189.16581173980234,1414.0429596448496
1779232438.042550,33.0,231.49630473821264,753479.69,837143.88,156373.39,7564065.5,929146.88,6981322.0,792.3785712529597,748.8000254282881,523.0839260142103,2934.7635351955696,189.2698672294771,1415.317213481779
1779232438.170037,33.0,231.43828298613323,753450.88,836934.06,155764.89,7571918.0,929311.75,6990071.5,792.3482739178878,748.6123477481559,521.0484353915433,2937.8102077369595,189.30345171830422,1417.0909918520301
1779232438.297559,33.0,231.00616998339584,754057.44,835371.44,155627.8,7566112.0,928692.75,6983177.5,792.9861479741602,747.2146311504608,520.5898562469887,2935.557551796137,189.17735965435082,1415.6933773501144
1779232438.424579,33.0,231.2032481564583,753587.88,836084.12,156001.02,7572769.0,929780.06,6989851.5,792.4923466323914,747.8521019782023,521.8383127961946,2938.1403851750647,189.39884779983896,1417.0463914472693
1779232438.552916,33.0,231.1628580263052,754107.06,835938.06,155775.91,7565919.0,928234.5,6983021.5,793.0383296390776,747.7214557006305,521.0852983441509,2935.4826701914903,189.08401282348387,1415.6617516085566
1779232438.679828,33.0,231.56272197400733,754179.56,837384.06,155731.05,7565011.0,929674.88,6982672.5,793.1145724989426,749.0148592154113,520.9352373592161,2935.1303774608205,189.37742233410935,1415.590999148277
1779232438.806960,33.0,231.09941073435445,753565.06,835708.62,155850.38,7570361.5,928439.88,6988148.5,792.468348534983,747.5162285205257,521.334407607372,2937.206305054925,189.12584931475166,1416.7011437685976
