wall_time,type,session,nfloats,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,accuracy
1779232998.523841,0,1,14,101513179430912.00,0.00,794055.69,884201.12,165164.02,8031443.00,980727.50,7415325.00,33.00,33.00,33.00,33.00,33.00,33.00,748779251394
1779232998.652230,0,1,14,4126510844630532096.00,0.00,794014.00,883945.25,165179.23,8010253.00,981349.56,7393666.50,33.00,33.00,33.00,33.00,33.00,33.00,748907991359
1779232998.780962,0,1,14,170763203243789210615808.00,0.00,794510.38,884396.19,164744.23,8020223.00,978812.75,7403885.50,33.00,33.00,33.00,33.00,33.00,33.00,749036676190
1779232998.909770,0,1,14,7279432895718090345302458368.00,0.00,794200.62,885353.00,165397.59,8042782.50,982459.12,7425756.00,33.00,33.00,33.00,33.00,33.00,33.00,749165357887
1779232999.038741,0,1,14,291614184785473774412604479897600.00,0.00,794437.88,886540.19,165224.09,8068083.00,983978.38,7448586.50,33.00,33.00,33.00,33.00,33.00,33.00,749293931268
1779232999.166811,0,1,14,12188228541134583929410327423003656192.00,0.00,794677.12,886460.81,165075.14,8006184.00,980156.00,7444825.00,33.00,33.00,33.00,33.00,33.00,33.00,749422687713
1779232999.295830,0,1,14,-0.00,0.00,795168.56,885889.25,164938.89,8061642.50,983902.56,7445008.00,33.00,33.00,33.00,33.00,33.00,33.00,749551439641
1779232999.425165,0,1,14,-0.00,0.00,795394.88,886970.56,165675.17,8073210.00,983759.94,7451219.00,33.00,33.00,33.00,33.00,33.00,33.00,749680231527
1779232999.556027,0,1,14,-0.00,0.00,793743.00,887026.44,164823.80,8001491.50,980536.31,7387109.00,33.00,33.00,33.00,33.00,33.00,33.00,749809004004
1779232999.682988,0,1,14,-0.00,0.00,794773.44,886459.81,165137.77,8053632.50,982751.44,7434982.00,33.00,33.00,33.00,33.00,33.00,33.00,749937664014
1779232999.809050,0,1,14,-0.00,0.00,794201.62,885031.44,165012.52,8036246.00,981396.06,7418932.50,33.00,33.00,33.00,33.00,33.00,33.00,750066261076
1779232999.936026,0,1,14,-0.00,0.00,793903.81,886365.69,165913.84,8101539.00,984497.31,7479445.50,33.00,33.00,33.00,33.00,33.00,33.00,750192521549
1779233000.062313,0,1,14,-0.00,0.00,794454.81,885151.06,165336.66,8082013.00,982605.81,7461175.00,33.00,33.00,33.00,33.00,33.00,33.00,750319117187
1779233000.189711,0,1,14,-0.00,0.00,794828.06,885996.12,165057.38,8010650.50,980245.00,7395554.00,33.00,33.00,33.00,33.00,33.00,33.00,750445683243
